section,model,experiment,accuracy,precision,recall,f1
00,IsolationForest,Source_Source,0.58,0.66,0.33,0.44
00,IsolationForest,Source_Target,0.53,0.5714285714285714,0.24,0.3380281690140845
00,IsolationForest,Source+Target_Target,0.53,0.5652173913043478,0.26,0.3561643835616438
01,IsolationForest,Source_Source,0.645,0.7543859649122807,0.43,0.5477707006369427
01,IsolationForest,Source_Target,0.605,0.5826771653543307,0.74,0.6519823788546255
01,IsolationForest,Source+Target_Target,0.595,0.5725190839694656,0.75,0.6493506493506493
02,IsolationForest,Source_Source,0.645,0.7636363636363637,0.42,0.5419354838709678
02,IsolationForest,Source_Target,0.55,0.6470588235294118,0.22,0.3283582089552239
02,IsolationForest,Source+Target_Target,0.545,0.6153846153846154,0.24,0.34532374100719426
00,OneClassSVM,Source_Source,0.77,0.8857142857142857,0.62,0.7294117647058823
00,OneClassSVM,Source_Target,0.545,0.5365853658536586,0.66,0.5919282511210763
00,OneClassSVM,Source+Target_Target,0.565,0.5546218487394958,0.66,0.6027397260273972
01,OneClassSVM,Source_Source,0.68,0.8214285714285714,0.46,0.5897435897435898
01,OneClassSVM,Source_Target,0.61,0.5833333333333334,0.77,0.6637931034482759
01,OneClassSVM,Source+Target_Target,0.615,0.5905511811023622,0.75,0.6607929515418502
02,OneClassSVM,Source_Source,0.905,0.8857142857142857,0.93,0.9073170731707317
02,OneClassSVM,Source_Target,0.525,0.5172413793103449,0.75,0.6122448979591837
02,OneClassSVM,Source+Target_Target,0.525,0.5172413793103449,0.75,0.6122448979591837
